fid,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,number,type,distance,angle,x,y,u_x,u_z
1,New file 1,,,,,,,,,,,,280,216.496750678019,672244.5219142106,5267965.0511159524,2627.52191421064,571.948884047568
1,New file 1,,,,,,,,,,,,282,216.496750678019,672243.3323598148,5267963.4433347676,2626.33235981467,573.556665232405
1,New file 1,,,,,,,,,,,,284,216.496750678019,672242.1428054188,5267961.8355535828,2625.1428054187,575.164446417242
1,New file 1,,,,,,,,,,,,286,216.496750678019,672240.9532510228,5267960.2277723979,2623.95325102273,576.77222760208
1,New file 1,,,,,,,,,,,,288,216.496750678019,672239.7636966268,5267958.6199912122,2622.76369662676,578.380008787848
1,New file 1,,,,,,,,,,,,290,216.496750678019,672238.5741422310,5267957.0122100273,2621.57414223091,579.987789972685
1,New file 1,,,,,,,,,,,,292,216.496750678019,672237.3845878351,5267955.4044288425,2620.38458783494,581.595571157522
1,New file 1,,,,,,,,,,,,294,216.496750678019,672236.1950334390,5267953.7966476576,2619.19503343897,583.20335234236
1,New file 1,,,,,,,,,,,,296,216.496750678019,672235.0054790430,5267952.1888664719,2618.005479043,584.811133528128
1,New file 1,,,,,,,,,,,,298,203.376622421118,672233.8973359008,5267950.5342023503,2616.89733590081,586.465797649696
1,New file 1,,,,,,,,,,,,300,203.376622421118,672233.1037891024,5267948.6983691668,2616.10378910229,588.301630833186
1,New file 1,,,,,,,,,,,,302,203.376622421118,672232.3102423038,5267946.8625359833,2615.31024230376,590.137464016676
1,New file 1,,,,,,,,,,,,304,203.376622421118,672231.5166955052,5267945.0267027989,2614.51669550512,591.973297201097
1,New file 1,,,,,,,,,,,,306,203.376622421118,672230.7231487066,5267943.1908696154,2613.7231487066,593.809130384587
1,New file 1,,,,,,,,,,,,308,203.376622421118,672229.9296019082,5267941.3550364319,2612.92960190808,595.644963568076
1,New file 1,,,,,,,,,,,,310,212.413887045121,672229.0656280322,5267939.5564849982,2612.06562803208,597.443515001796
1,New file 1,,,,,,,,,,,,312,212.413887045121,672227.9935651862,5267937.8680889383,2610.99356518616,599.131911061704
1,New file 1,,,,,,,,,,,,314,212.413887045121,672226.9215023404,5267936.1796928793,2609.92150234035,600.820307120681
1,New file 1,,,,,,,,,,,,316,212.413887045121,672225.8494394944,5267934.4912968194,2608.84943949443,602.508703180589
1,New file 1,,,,,,,,,,,,318,212.413887045121,672224.7773766486,5267932.8029007595,2607.77737664862,604.197099240497
1,New file 1,,,,,,,,,,,,320,190.697079572607,672223.8579917776,5267931.0541923912,2606.85799177748,605.945807608776
1,New file 1,,,,,,,,,,,,322,190.697079572607,672223.4867587170,5267929.0889478736,2606.48675871687,607.911052126437
1,New file 1,,,,,,,,,,,,324,190.697079572607,672223.1155256564,5267927.1237033559,2606.11552565626,609.876296644099
1,New file 1,,,,,,,,,,,,326,190.697079572607,672222.7442925958,5267925.1584588382,2605.74429259566,611.841541161761
1,New file 1,,,,,,,,,,,,328,179.832182951948,672222.3754206982,5267923.1929967524,2605.37542069808,613.807003247552
1,New file 1,,,,,,,,,,,,330,179.832182951948,672222.3812786099,5267921.1930053309,2605.38127860974,615.806994669139
1,New file 1,,,,,,,,,,,,332,179.832182951948,672222.3871365214,5267919.1930139093,2605.3871365214,617.806986090727
1,New file 1,,,,,,,,,,,,334,192.558653526229,672222.3179648912,5267917.2011672342,2605.31796489109,619.79883276578
1,New file 1,,,,,,,,,,,,336,204.948292480386,672221.7798470106,5267915.2840716233,2604.77984701062,621.715928376652
1,New file 1,,,,,,,,,,,,338,204.948292480386,672220.9362466560,5267913.4706939897,2603.93624665588,623.529306010343
1,New file 1,,,,,,,,,,,,340,233.923994236911,672219.6494180036,5267912.0218566731,2602.64941800351,624.978143326938
1,New file 1,,,,,,,,,,,,342,233.923994236911,672218.0329448920,5267910.8441407988,2601.03294489195,626.155859201215
1,New file 1,,,,,,,,,,,,344,219.206740635795,672216.6642335524,5267909.4047412230,2599.66423355229,627.59525877703
1,New file 1,,,,,,,,,,,,346,219.206740635795,672215.3999926172,5267907.8550009681,2598.39999261708,629.144999031909
1,New file 1,,,,,,,,,,,,348,219.206740635795,672214.1357516818,5267906.3052607132,2597.13575168175,630.694739286788
1,New file 1,,,,,,,,,,,,350,196.589895204512,672213.2466799014,5267904.5568927182,2596.24667990126,632.443107281812
1,New file 1,,,,,,,,,,,,352,196.589895204512,672212.6756411986,5267902.6401468292,2595.67564119864,634.359853170812
1,New file 1,,,,,,,,,,,,354,167.848228740491,672212.2444436150,5267900.7179821935,2595.24444361497,636.282017806545
1,New file 1,,,,,,,,,,,,356,167.848228740491,672212.6654475782,5267898.7627953328,2595.66544757807,638.237204667181
1,New file 1,,,,,,,,,,,,358,167.848228740491,672213.0864515412,5267896.8076084713,2596.08645154117,640.192391528748
1,New file 1,,,,,,,,,,,,360,124.753853823197,672214.3064184450,5267895.3852426764,2597.30641844496,641.614757323638
1,New file 1,,,,,,,,,,,,362,124.753853823197,672215.9496356390,5267894.2451386219,2598.94963563897,642.754861378111
1,New file 1,,,,,,,,,,,,364,105.781690490246,672217.6812606982,5267893.2923354581,2600.68126069824,643.7076645419
1,New file 1,,,,,,,,,,,,366,105.781690490246,672219.6058706074,5267892.7483899668,2602.60587060743,644.251610033214
1,New file 1,,,,,,,,,,,,368,105.781690490246,672221.5304805166,5267892.2044444755,2604.53048051661,644.795555524528
1,New file 1,,,,,,,,,,,,370,80.379540372154,672223.4979608431,5267892.4570692237,2606.49796084315,644.542930776253
1,New file 1,,,,,,,,,,,,372,80.379540372154,672225.4698336894,5267892.7913108701,2608.46983368939,644.208689129911
1,New file 1,,,,,,,,,,,,374,44.9833822024626,672226.9434411570,5267894.0901580825,2609.943441157,642.909841917455
1,New file 1,,,,,,,,,,,,376,44.9833822024626,672228.3572444882,5267895.5047817575,2611.35724448808,641.495218242519
1,New file 1,,,,,,,,,,,,378,44.9833822024626,672229.7710478192,5267896.9194054315,2612.77104781917,640.080594568513
1,New file 1,,,,,,,,,,,,380,44.9833822024626,672231.1848511504,5267898.3340291064,2614.18485115026,638.665970893577
1,New file 1,,,,,,,,,,,,382,44.9833822024626,672232.5986544813,5267899.7486527814,2615.59865448135,637.25134721864
1,New file 1,,,,,,,,,,,,384,44.9833822024626,672234.0124578124,5267901.1632764563,2617.01245781244,635.836723543704
1,New file 1,,,,,,,,,,,,386,44.9833822024626,672235.4262611434,5267902.5779001312,2618.42626114341,634.422099868767
1,New file 1,,,,,,,,,,,,388,44.9833822024626,672236.8400644746,5267903.9925238052,2619.8400644745,633.007476194762
1,New file 1,,,,,,,,,,,,390,38.261348656679,672238.1009078078,5267905.5430585314,2621.10090780782,631.456941468641
1,New file 1,,,,,,,,,,,,392,38.261348656679,672239.3394067800,5267907.1134471130,2622.33940677985,629.886552887037
1,New file 1,,,,,,,,,,,,394,38.261348656679,672240.5779057520,5267908.6838356946,2623.57790575188,628.316164305434
1,New file 1,,,,,,,,,,,,396,38.261348656679,672241.8164047238,5267910.2542242752,2624.8164047238,626.745775724761
1,New file 1,,,,,,,,,,,,398,38.261348656679,672243.0549036958,5267911.8246128568,2626.05490369583,625.175387143157
1,New file 1,,,,,,,,,,,,400,38.261348656679,672244.2934026680,5267913.3950014384,2627.29340266786,623.604998561554
1,New file 1,,,,,,,,,,,,402,38.261348656679,672245.5319016400,5267914.9653900191,2628.53190163989,622.034609980881
1,New file 1,,,,,,,,,,,,404,38.261348656679,672246.7704006120,5267916.5357786007,2629.77040061192,620.464221399277
1,New file 1,,,,,,,,,,,,406,38.261348656679,672248.0088995839,5267918.1061671823,2631.00889958395,618.893832817674
1,New file 1,,,,,,,,,,,,408,38.261348656679,672249.2473985560,5267919.6765557639,2632.24739855598,617.32344423607
1,New file 1,,,,,,,,,,,,410,38.261348656679,672250.4858975280,5267921.2469443446,2633.48589752801,615.753055655397
1,New file 1,,,,,,,,,,,,412,38.261348656679,672251.7243965000,5267922.8173329262,2634.72439649992,614.182667073794
1,New file 1,,,,,,,,,,,,414,38.261348656679,672252.9628954720,5267924.3877215078,2635.96289547195,612.61227849219
1,New file 1,,,,,,,,,,,,416,38.261348656679,672254.2013944440,5267925.9581100885,2637.20139444398,611.041889911518
1,New file 1,,,,,,,,,,,,418,38.261348656679,672255.4398934160,5267927.5284986701,2638.43989341601,609.471501329914
1,New file 1,,,,,,,,,,,,420,38.261348656679,672256.6783923880,5267929.0988872517,2639.67839238804,607.90111274831
1,New file 1,,,,,,,,,,,,422,38.261348656679,672257.9168913602,5267930.6692758324,2640.91689136007,606.330724167638
1,New file 1,,,,,,,,,,,,424,38.261348656679,672259.1553903322,5267932.2396644140,2642.1553903321,604.760335586034
1,New file 1,,,,,,,,,,,,426,38.261348656679,672260.3938893043,5267933.8100529956,2643.39388930413,603.18994700443
1,New file 1,,,,,,,,,,,,428,58.9915192727613,672261.7722022862,5267935.2217061399,2644.77220228605,601.778293860145
1,New file 1,,,,,,,,,,,,430,58.9915192727613,672263.4863844004,5267936.2520360285,2646.48638440028,600.747963971458
1,New file 1,,,,,,,,,,,,432,58.9915192727613,672265.2005665146,5267937.2823659172,2648.20056651451,599.717634082772
1,New file 1,,,,,,,,,,,,434,77.8513380671875,672266.9699035645,5267938.1732379766,2649.96990356455,598.826762023382
1,New file 1,,,,,,,,,,,,436,77.8513380671875,672268.9251132702,5267938.5941358358,2651.92511327006,598.405864164233
1,New file 1,,,,,,,,,,,,438,128.841440103229,672270.7246988694,5267938.3590700896,2653.72469886928,598.640929910354
1,New file 1,,,,,,,,,,,,440,189.955170470733,672271.4246905502,5267936.7822891576,2654.42469055008,600.217710842378
1,New file 1,,,,,,,,,,,,442,219.151203583881,672270.9457731298,5267934.8732374012,2653.94577312982,602.126762598753
1,New file 1,,,,,,,,,,,,444,219.151203583881,672269.6830349582,5267933.3222724404,2652.6830349582,603.677727559581
1,New file 1,,,,,,,,,,,,446,219.151203583881,672268.4202967868,5267931.7713074796,2651.4202967867,605.22869252041
1,New file 1,,,,,,,,,,,,448,219.151203583881,672267.1575586152,5267930.2203425188,2650.1575586152,606.779657481238
1,New file 1,,,,,,,,,,,,450,201.621750883423,672266.2585236146,5267928.4561095461,2649.25852361461,608.543890453875
1,New file 1,,,,,,,,,,,,452,201.621750883423,672265.5215686304,5267926.5968362065,2648.52156863036,610.403163793497
1,New file 1,,,,,,,,,,,,454,196.074099201043,672264.7898210090,5267924.7357852738,2647.78982100904,612.264214726165
1,New file 1,,,,,,,,,,,,456,196.074099201043,672264.2360604078,5267922.8139764396,2647.23606040771,614.186023560353
1,New file 1,,,,,,,,,,,,458,196.074099201043,672263.6822998064,5267920.8921676055,2646.68229980627,616.10783239454
